Stankevičius,1227
Kazlauskas,932
Jankauskas,831
Petrauskas,812
Butkus,755
Žukauskas,655
Balčiūnas,632
Rimkus,571
Vasiliauskas,565
Žemaitis,555
Kavaliauskas,541
Šimkus,532
Ramanauskas,528
Kairys,527
Mickevičius,512
Baranauskas,502
Petraitis,499
Adomaitis,490
Sakalauskas,488
Žilinskas,479
Vaitkevičius,478
Navickas,468
Mackevičius,457
Ivanauskas,451
Petkevičius,451
Marcinkevičius,449
Urbanavičius,447
Jurevičius,445
Paškevičius,443
Bagdonas,440
Pocius,429
Vaitkus,418
Savickas,415
Juška,407
Sinkevičius,406
Paulauskas,404
Radzevičius,403
Urbonas,393
Rutkauskas,387
Kubilius,386
Sabaliauskas,384
Paulauskas,372
Naujokas,367
Mažeika,367
Sadauskas,357
Malinauskas,355
Mikalauskas,355
Lukošius,349
Mockus,342
Lukoševičius,339
Butkevičius,335
Vilkas,334
Juškevičius,333
Stonkus,331
Černauskas,325
Rakauskas,324
Petrauskas,321
Tamošiūnas,320
Morkūnas,317
Valaitis,317
Matulevičius,317
Mačiulis,317
Rinkevičius,316
Venckus,316
Januškevičius,310
Šukys,305
Lukaševičius,304
Vitkauskas,303
Dambrauskas,302
Jonaitis,290
Markevičius,290
Adomavičius,288
Rimkevičius,288
Grigaliūnas,285
Kučinskas,282
Šmidtas,279
Karalius,278
Bartkus,277
Budrys,276
Krasauskas,271
Kazakevičius,267
Misevičius,266
Aleksandravičius,264
Miškinis,262
Mickus,259
Gudaitis,255
Bružas,254
Grigas,252
Urbonavičius,251
Baltrušaitis,249
Narkevičius,246
Barkauskas,245
Banys,243
Klimas,243
Šulcas,242
Misiūnas,241
Juknevičius,240
Steponavičius,238
Stankus,238
Stanevičius,237
Petravičius,233
Vaičiūnas,231
Laurinavičius,228
Bernotas,225
Vyšnauskas,225
Simanavičius,225
Barauskas,223
Antanavičius,223
Jakštas,221
Grigaitis,219
Kazlauskas,219
Burba,218
Jankauskas,216
Jonušas,215
Lapinskas,213
Pečiulis,212
Leonavičius,212
Martinkus,209
Slavinskas,208
Kulikauskas,208
Vitkus,207
Andriuškevičius,206
Jurkevičius,205
Vanagas,205
Balsys,204
Janušauskas,202
Šidlauskas,201
Gricius,201
Linkevičius,200
Petkus,200
Klimavičius,199
Tamašauskas,198
Vaičiulis,198
Galdikas,198
Liutkevičius,198
Jokubauskas,196
Burokas,194
Alekna,194
Vaitiekūnas,191
Blažys,190
Brazauskas,189
Katinas,188
Blaževičius,188
Kaminskas,188
Pipiras,187
Jakubauskas,186
Vaškevičius,186
Velička,184
Meškauskas,184
Astrauskas,184
Žukas,184
Janulevičius,182
Vasiliauskas,182
Karvelis,181
Jasiūnas,181
Mockevičius,181
Bendikas,180
Strazdas,180
Narbutas,180
Bertašius,179
Ališauskas,177
Jakaitis,177
Miliauskas,177
Gedvilas,177
Šinkūnas,176
Peteraitis,176
Povilaitis,174
Urbonas,174
Gailius,173
Juodis,173
Giedraitis,172
Rudys,172
Savickas,171
Mikalauskas,169
Antanaitis,169
Kasperavičius,169
Bartkevičius,168
Žukauskas,167
Banevičius,167
Matulis,166
Ragauskas,166
Gasiūnas,165
Danilevičius,165
Bukauskas,165
Šimkevičius,164
Milašius,162
Beniušis,161
Žvirblis,161
Čepas,161
Visockas,160
Kriščiūnas,158
Simonavičius,158
Lisauskas,157
Navickas,157
Baronas,157
Tamulis,156
Kalinauskas,155
Lukauskas,155
Petronis,155
Višniauskas,155
Jankevičius,154
Kavolius,154
Liutkus,153
Kvedaras,153
Pocevičius,151
Ramonas,151
Balsevičius,151
Masiulis,150
Abramavičius,150
Bieliauskas,149
Tamošaitis,149
Čepulis,148
Jakutis,147
Kisielius,146
Vilčinskas,144
Bagdonavičius,144
Baltrūnas,143
Genys,143
Sasnauskas,143
Grigonis,143
Navikas,142
Januška,142
Balčius,141
Raila,141
Kasparavičius,140
Noreika,140
Jurkus,140
Jocius,140
Sipavičius,139
Vaškys,139
Kamarauskas,139
Varnas,139
Gylys,139
Dūda,139
Janavičius,139
Vilimas,138
Markūnas,138
Paulikas,138
Puodžiūnas,137
Tarasevičius,137
Šneideris,136
Jurgelevičius,136
Jasinskas,135
Deveikis,135
Narkus,134
Daugėla,134
Motiejūnas,134
Aleknavičius,133
Bacevičius,133
Žilys,133
Grabauskas,133
Grinevičius,132
Kriaučiūnas,132
Kuršius,132
Želvys,132
Jankūnas,131
Ivaškevičius,131
Račkauskas,131
Norkus,131
Bučinskas,130
Juozapavičius,130
Petrulis,130
Stonys,129
Jonauskas,129
Zinkevičius,129
Žilinskas,129
Šimonis,128
Jukna,128
Paškauskas,127
Lazauskas,127
Pranckevičius,127
Kaupas,127
Ramoška,126
Bernatavičius,126
Krivickas,126
Majauskas,126
Bagdanavičius,126
Valiukas,125
Gaidys,125
Murauskas,125
Jucius,124
Rimša,124
Paulavičius,124
Pranaitis,123
Kvietkauskas,123
Šimaitis,123
