Antonijus,48
Antonis,14
Anupras,52
Anzelma,5
Anzelmas,17
Apolinara,3
Apolinaras,92
Apolinarija,5
Apolinarijus,1
Apolius,2
Apolonas,5
Apolonija,68
Apolonijus,3
Aprelija,1
Ara,10
Aranas,22
Aras,643
Arbutas,2
Archipas,1
Areta,136
Aretas,484
Aretis,1
Argailas,1
Argaudas,17
Argimantas,1
Argina,1
Arginija,1
Arginta,2
Argintas,16
Argira,1
Ariadna,32
Ariana,741
Arianas,37
Ariane,1
Ariela,26
Ariele,5
Arielis,23
Arielius,13
Arija,231
Arijas,7
Arijus,1859
Arimana,1
Arimanas,1
Arimanta,1
Arimantas,113
Arimas,1
Arimeda,1
Arina,986
Aris,60
Arista,3
Aristas,3
Aristida,66
Aristidas,37
Aristidis,1
Arius,7
Arkadija,2
Arkadijus,149
Arma,3
Armanda,224
Armandas,3212
Armandita,3
Armanta,3
Armantas,208
Armante,1
Armas,2
Armeda,2
Armedas,4
Armena,2
Armida,80
Armina,116
Arminas,2736
Armine,3
Arminija,5
Arminijus,2
Arminta,39
Armintas,18
Armis,9
Armondas,28
Arna,1
Arnas,6301
Arneta,54
Arnetas,13
Arne,1
Arnis,37
Arnius,19
Arnolda,48
Arnoldas,2998
Arnulfas,1
Arona,5
Aronas,2190
Arsena,1
Arsenas,45
Arsenija,3
Arsenijus,34
Arta,8
Artas,102
Artautas,6
Artemida,1
Artemijus,26
Artemizija,1
Artis,11
Artura,1
Arturas,1026
Aruna,1
Arune,1
Arvaida,1
Arvaidas,32
Arvaldas,3
Arvida,2
Arvidas,479
Arvijus,1
Arvilas,10
Arvile,1
Arvilis,1
Arvina,1
Arvinas,3
Arvis,2
Arvyda,28
Arvydas,10412
Arvystas,2
Arvydijus,2
Asija,8
Askanijas,1
Askanijus,2
Asta,13513
Astas,4
Astera,7
Asteras,1
Asterija,3
Asterijus,7
Astija,10
Astijus,367
Astis,2
Astorija,2
Astra,194
Astrida,39
Astridas,1
Astrius,1
Asmantas,2
Ata,1
Atalija,3
Atanas,4
Atas,283
Atena,1
Atene,3
Atija,4
Atijus,1
Atikas,2
Atilija,10
Atis,4
Atolija,1
Auda,5
Audangas,8
Audas,5
Audenis,5
Audijus,2
Audinga,138
Audingas,23
Audis,2
Audomaras,1
Audra,1120
Audras,1
Audrija,1
Audrijus,1
Audrimantas,1
Audrina,8
Audris,92
Audrius,11933
Audrona,48
Audrone,1
Audronija,25
Audronijus,6
Audronis,259
Audronius,112
Audrunas,1
Audrys,90
Audvydas,5
Audvydis,2
Auga,3
Augantas,6
Augas,1
Augenis,4
Augimantas,3
Augina,3
Auginas,1
Auginija,1
Augintas,5
Augirdas,2
Augis,90
Augius,9
Augmantas,4
Augmina,4
Augminas,3
Augtara,1
Augunda,1
Augurijus,1
Augusta,126
Augustas,4683
Auguste,4
Augustina,393
Augustinas,1774
Augustis,1
Augvidas,2
Augvydas,1
Aujotas,1
Auksa,3
Auksas,6
Aukse,1
Auksina,4
Auksis,2
Auksius,2
Auksys,1
Auksuolis,5
Auktumas,17
Aumas,1
Aura,310
Auras,3
Aurela,2
Aurelija,6343
Aurelijus,2478
Aurelius,4
Aureja,7
Aurima,64
Aurimantas,17
Aurimas,8732
Aurinija,10
Aurinta,29
Auris,33
Aurita,84
Aurius,69
Aurys,3
Aurora,108
Ausma,139
Austa,5
Austas,4
Austeja,15
Austis,7
Austra,59
Austrija,1
Ausmantas,5
Ausrine,1
Auvydas,1
Auzonija,1
Ava,13
Avelija,2
Avelijus,1
Avija,1
Avita,1
Avstralija,1
Azalija,1
Azarija,1
Azarijus,1
Adelpas,1
Adesijus,1
Adeta,1
Adilijus,2
Adita,7
Admundas,26
Adolfyna,1
Adolpina,2
Aduardas,1
Adulfas,8
Adulpina,1
Aduolfina,1
Aduolius,1
Advardas,11
Afemija,1
Afimija,2
Afrasija,1
Agida,2
Agidija,3
Agidijus,15
Agydijus,2
Aglikerija,1
Aksavera,8
Aksaveras,3
Aksencijus,1
Aksenija,28
Aksenijus,2
Aksentijus,1
Aksinija,25
Akvelina,15
Albyna,1
Albynas,7
Alegija,1
Alegijus,4
Aleksendras,1
Alfrida,18
Alfridas,185
Alidijus,1
Aligija,3
Aligijus,11
Alygijus,1
Alimpiada,1
Alimpija,1
Alioyzas,7
Alpas,6
Alponas,4
Alponsas,4
Alpridas,1
Aluizas,1
Aluyzas,1
Andzelmas,2
Angelbertas,1
Anielius,9
Anizija,1
Anstazija,1
Apalionija,4
Apalonija,4
Apolionija,44
Arestas,5
Aristydas,1
Arloldas,1
Artiomijus,1
Astafijus,2
Augenija,223
Augenijus,166
Augenius,3
Augienijus,1
Augienius,1
Aulalija,1
Austyna,1
Avangelija,1
Avdokija,2
Avelina,10
Avgenija,3
Avgenijus,3
Avidijus,4
Abia,1
Abigail,25
Adam,682
Adan,2
Adelia,14
Adelle,2
Adilia,1
Adolf,9
Adom,1
Adria,51
Adrian,537
Adrianna,4
Adriano,9
Adrians,2
Aeugenijus,1
Afanasij,9
Agatha,2
Aglaya,2
Agnia,2
Aidan,23
Aiman,4
Aimant,1
Ainar,3
Aivar,16
Aivars,20
Aksenia,1
Akvilia,1
Alan,290
Alanna,1
Alant,1
Albert,633
Alberto,3
Albin,24
Aldiona,2
Alejandro,7
Aleks,239
Aleksandr,9113
Aleksej,2073
Aleksia,12
Alen,19
Alens,2
Alex,10
Alexa,2
Alexandr,4
Alexandra,10
Alexandras,1
Alexandro,1
Alfons,11
Alfred,106
Algird,2
Alya,5
Alicia,24
Aliya,5
Aliyah,3
Alisia,5
Alissa,5
Alyssa,7
Alivia,1
Allan,11
Aloyz,7
Alvaro,3
Alvids,1
Alvin,3
Amadea,1
Amaya,3
Amalia,10
